time,chyron,network
10:00:00,,msnbc
10:01:00,,msnbc
10:02:00,,msnbc
10:03:00,,msnbc
10:04:00,,msnbc
10:05:00,SENATE HEARING ON KAVANAUGH SEXUAL ASSAULT ALLEGATION UNDERWAY,msnbc
10:06:00,CHRISTINE BLASEY FORD TO TESTIFY ON KAVANAUGH ALLEGATIONS,msnbc
10:07:00,,msnbc
10:08:00,,msnbc
10:09:00,,msnbc
10:10:00,,msnbc
10:11:00,,msnbc
10:12:00,,msnbc
10:13:00,,msnbc
10:14:00,,msnbc
10:15:00,,msnbc
10:16:00,,msnbc
10:17:00,"CHRISTINE BLASEY FORD TO TESTIFY ON KAVANAUGH ALLEGATION. GRASSLEY: LOOK FORWARD TO ""FAIR & RESPECTFUL"" HEARING",msnbc
10:18:00,CHRISTINE BLASEY FORD TO TESTIFY ON KAVANAUGH ALLEGATION. GRASSLEY: TRYING TO INVESTIGATE OTHER ALLEGATIONS.,msnbc
10:19:00,CHRISTINE BLASEY FORD TO TESTIFY ON KAVANAUGH ALLEGATION. FEINSTEIN MAKES OPENING STATEMENT AHEAD OF FORD TESTIMONY,msnbc
10:20:00,,msnbc
10:21:00,CHRISTINE BLASEY FORD TO TESTIFY ON KAVANAUGH ALLEGATION. FEINSTEIN: YOU'LL SEE WHY I KEPT FORD'S ALLEGATION CONFIDENTIAL,msnbc
10:22:00,,msnbc
10:23:00,,msnbc
10:24:00,,msnbc
10:25:00,,msnbc
10:26:00,,msnbc
10:27:00,,msnbc
10:28:00,,msnbc
10:29:00,,msnbc
10:30:00,"CHRISTINE BLASEY FORD TO TESTIFY ON KAVANAUGH ALLEGATION. FEINSTEIN: ""INEXCUSABLE"" TO MAKE A ""RUSH TO JUDGMENT"" ON FORD",msnbc
10:31:00,,msnbc
10:32:00,CHRISTINE BLASEY FORD TO TESTIFY ON KAVANAUGH ALLEGATION. FEINSTEIN: ALLEGATIONS SHOULD BE INVESTIGATED BY FBI,msnbc
10:33:00,,msnbc
10:34:00,,msnbc
10:35:00,,msnbc
10:36:00,KAVANAUGH ACCUSER CHRISTINE BLASEY FORD SPEAKS BEFORE SENATE,msnbc
10:37:00,,msnbc
10:38:00,,msnbc
10:39:00,,msnbc
10:40:00,,msnbc
10:41:00,CHRISTINE BLASEY FORD DETAILS HER ALLEGATIONS AGAINST KAVANAUGH,msnbc
10:42:00,,msnbc
10:43:00,,msnbc
10:44:00,,msnbc
10:45:00,,msnbc
10:46:00,,msnbc
10:47:00,CHRISTINE BLASEY FORD DETAILS HER ALLEGATIONS AGAINST KAVANAUGH,msnbc
10:48:00,,msnbc
10:49:00,,msnbc
10:50:00,,msnbc
10:51:00,,msnbc
10:52:00,"FORD: APART FROM THE ASSAULT, ""LAST COUPLE OF WEEKS HAVE BEEN THE HARDEST OF MY LIFE."" ""MY HUSBAND RECALLS I NAMED KAVANAUGH AS ATTACKER IN 2O12."" KAVANAUGH ""VISIBLY DRUNK"" AT PARTY.",msnbc
10:53:00,"FORD: ""EXTREMELY HARD"" FOR ME TO NAME KAVANAUGH AS ATTACKER. ""I AM HERE TODAY NOT BECAUSE I WANT TO BE. I AM TERRIFIED."" ""IT IS MY CIVIC DUTY TO TELL YOU WHAT HAPPENED TO ME.""",msnbc
10:54:00,ARIZONA SEX CRIMES PROSECUTOR QUESTIONING KAVANAUGH ACCUSER,msnbc
10:55:00,,msnbc
10:56:00,,msnbc
10:57:00,,msnbc
10:58:00,,msnbc
10:59:00,,msnbc
11:00:00,SENATE HEARING ON KAVANAUGH SEXUAL ASSAULT ALLEGATION UNDERWAY. KAVANAUGH ACCUSER DR. CHRISTINE BLASEY FORD SPEAKS BEFORE SENATE,msnbc
11:01:00,,msnbc
11:02:00,,msnbc
11:03:00,"FORD: ""I HAVE BEEN COPING WITH PTSD-LIKE SYMPTOMS""",msnbc
11:04:00,"FORD: ""STRUGGLED ACADEMICALLY"" AFTER ALLEGED KAVANAUGH ASSAULT.",msnbc
11:05:00,,msnbc
11:06:00,ARIZONA SEX CRIMES PROSECUTOR QUESTIONING KAVANAUGH ACCUSER,msnbc
11:07:00,,msnbc
11:08:00,,msnbc
11:09:00,,msnbc
11:10:00,,msnbc
11:11:00,KAVANAUGH ACCUSER DR. CHRISTINE BLASEY FORD SPEAKS BEFORE SENATE,msnbc
11:12:00,FORD: ALLEGED KAVANAUGH ASSAULT NOT A CASE OF MISTAKEN,msnbc
11:13:00,,msnbc
11:14:00,"KAVANAUGH ACCUSER DR. CHRISTINE BLASEY FORD SPEAKS BEFORE SENATE. FORD: I REMEMBER KAVANAUGH'S ""LAUGHTER"" DURING ASSAULT",msnbc
11:15:00,,msnbc
11:16:00,ARIZONA SEX CRIMES PROSECUTOR QUESTIONING KAVANAUGH ACCUSER,msnbc
